task_id,M0,rhoh0,FeH,rg,tend,seed,rantala_imbh_seed,extended_imf,galpy_potential,M_vir,c_halo
107,10000000.0,4168693.834703355,-1.7,26.25,3000,107,True,True,True,1000000000.0,17
108,10000000.0,4168693.834703355,-1.7,26.25,3000,108,True,True,True,1000000000.0,17
109,10000000.0,4168693.834703355,-1.7,26.25,3000,109,True,True,True,1000000000.0,17
110,10000000.0,4168693.834703355,-1.7,26.25,3000,110,True,True,True,1000000000.0,17
111,10000000.0,4168693.834703355,-1.7,26.25,3000,111,True,True,True,1000000000.0,17
112,10000000.0,4168693.834703355,-1.7,26.25,3000,112,True,True,True,1000000000.0,17
113,10000000.0,4168693.834703355,-1.7,26.25,3000,113,True,True,True,1000000000.0,17
114,10000000.0,4168693.834703355,-1.7,26.25,3000,114,True,True,True,1000000000.0,17
115,10000000.0,4168693.834703355,-1.7,26.25,3000,115,True,True,True,1000000000.0,17
116,10000000.0,4168693.834703355,-1.7,26.25,3000,116,True,True,True,1000000000.0,17
117,10000000.0,4168693.834703355,-1.7,26.25,3000,117,True,True,True,1000000000.0,17
118,10000000.0,4168693.834703355,-1.7,26.25,3000,118,True,True,True,1000000000.0,17
119,10000000.0,4168693.834703355,-1.7,26.25,3000,119,True,True,True,1000000000.0,17
120,10000000.0,4168693.834703355,-1.7,26.25,3000,120,True,True,True,1000000000.0,17
121,10000000.0,4168693.834703355,-1.7,26.25,3000,121,True,True,True,1000000000.0,17
122,10000000.0,4168693.834703355,-1.7,26.25,3000,122,True,True,True,1000000000.0,17
123,10000000.0,4168693.834703355,-1.7,26.25,3000,123,True,True,True,1000000000.0,17
124,10000000.0,4168693.834703355,-1.7,26.25,3000,124,True,True,True,1000000000.0,17
125,10000000.0,4168693.834703355,-1.7,26.25,3000,125,True,True,True,1000000000.0,17
126,10000000.0,4168693.834703355,-1.7,26.25,3000,126,True,True,True,1000000000.0,17
127,10000000.0,4168693.834703355,-1.7,26.25,3000,127,True,True,True,1000000000.0,17
128,10000000.0,4168693.834703355,-1.7,26.25,3000,128,True,True,True,1000000000.0,17
129,10000000.0,4168693.834703355,-1.7,26.25,3000,129,True,True,True,1000000000.0,17
130,10000000.0,4168693.834703355,-1.7,26.25,3000,130,True,True,True,1000000000.0,17
131,10000000.0,4168693.834703355,-1.7,26.25,3000,131,True,True,True,1000000000.0,17
132,10000000.0,4168693.834703355,-1.7,26.25,3000,132,True,True,True,1000000000.0,17
