task_id,M0,rhoh0,FeH,rg,tend,seed,rantala_imbh_seed,chattopadhyay_seed,galpy_potential,M_vir,c_halo
127,10000000.0,4168693.834703355,-1.7,26.25,3000,27,False,False,False,1000000000.0,7
128,10000000.0,4168693.834703355,-1.7,26.25,3000,28,False,False,False,1000000000.0,7
129,10000000.0,4168693.834703355,-1.7,26.25,3000,29,False,False,False,1000000000.0,7
130,10000000.0,4168693.834703355,-1.7,26.25,3000,30,False,False,False,1000000000.0,7
131,10000000.0,4168693.834703355,-1.7,26.25,3000,31,False,False,False,1000000000.0,7
132,10000000.0,4168693.834703355,-1.7,26.25,3000,32,False,False,False,1000000000.0,7
133,10000000.0,4168693.834703355,-1.7,26.25,3000,33,False,False,False,1000000000.0,7
134,10000000.0,4168693.834703355,-1.7,26.25,3000,34,False,False,False,1000000000.0,7
135,10000000.0,4168693.834703355,-1.7,26.25,3000,35,False,False,False,1000000000.0,7
136,10000000.0,4168693.834703355,-1.7,26.25,3000,36,False,False,False,1000000000.0,7
137,10000000.0,4168693.834703355,-1.7,26.25,3000,37,False,False,False,1000000000.0,7
138,10000000.0,4168693.834703355,-1.7,26.25,3000,38,False,False,False,1000000000.0,7
139,10000000.0,4168693.834703355,-1.7,26.25,3000,39,False,False,False,1000000000.0,7
140,10000000.0,4168693.834703355,-1.7,26.25,3000,40,False,False,False,1000000000.0,7
141,10000000.0,4168693.834703355,-1.7,26.25,3000,41,False,False,False,1000000000.0,7
142,10000000.0,4168693.834703355,-1.7,26.25,3000,42,False,False,False,1000000000.0,7
143,10000000.0,4168693.834703355,-1.7,26.25,3000,43,False,False,False,1000000000.0,7
144,10000000.0,4168693.834703355,-1.7,26.25,3000,44,False,False,False,1000000000.0,7
145,10000000.0,4168693.834703355,-1.7,26.25,3000,45,False,False,False,1000000000.0,7
146,10000000.0,4168693.834703355,-1.7,26.25,3000,46,False,False,False,1000000000.0,7
147,10000000.0,4168693.834703355,-1.7,26.25,3000,47,False,False,False,1000000000.0,7
148,10000000.0,4168693.834703355,-1.7,26.25,3000,48,False,False,False,1000000000.0,7
149,10000000.0,4168693.834703355,-1.7,26.25,3000,49,False,False,False,1000000000.0,7
150,10000000.0,4168693.834703355,-1.7,26.25,3000,50,False,False,False,1000000000.0,7
151,10000000.0,4168693.834703355,-1.7,26.25,3000,51,False,False,False,1000000000.0,7
152,10000000.0,4168693.834703355,-1.7,26.25,3000,52,False,False,False,1000000000.0,7
153,10000000.0,4168693.834703355,-1.7,26.25,3000,53,False,False,False,1000000000.0,7
154,10000000.0,4168693.834703355,-1.7,26.25,3000,54,False,False,False,1000000000.0,7
155,10000000.0,4168693.834703355,-1.7,26.25,3000,55,False,False,False,1000000000.0,7
156,10000000.0,4168693.834703355,-1.7,26.25,3000,56,False,False,False,1000000000.0,7
157,10000000.0,4168693.834703355,-1.7,26.25,3000,57,False,False,False,1000000000.0,7
158,10000000.0,4168693.834703355,-1.7,26.25,3000,58,False,False,False,1000000000.0,7
159,10000000.0,4168693.834703355,-1.7,26.25,3000,59,False,False,False,1000000000.0,7
160,10000000.0,4168693.834703355,-1.7,26.25,3000,60,False,False,False,1000000000.0,7
161,10000000.0,4168693.834703355,-1.7,26.25,3000,61,False,False,False,1000000000.0,7
162,10000000.0,4168693.834703355,-1.7,26.25,3000,62,False,False,False,1000000000.0,7
163,10000000.0,4168693.834703355,-1.7,26.25,3000,63,False,False,False,1000000000.0,7
164,10000000.0,4168693.834703355,-1.7,26.25,3000,64,False,False,False,1000000000.0,7
165,10000000.0,4168693.834703355,-1.7,26.25,3000,65,False,False,False,1000000000.0,7
166,10000000.0,4168693.834703355,-1.7,26.25,3000,66,False,False,False,1000000000.0,7
167,10000000.0,4168693.834703355,-1.7,26.25,3000,67,False,False,False,1000000000.0,7
168,10000000.0,4168693.834703355,-1.7,26.25,3000,68,False,False,False,1000000000.0,7
169,10000000.0,4168693.834703355,-1.7,26.25,3000,69,False,False,False,1000000000.0,7
170,10000000.0,4168693.834703355,-1.7,26.25,3000,70,False,False,False,1000000000.0,7
171,10000000.0,4168693.834703355,-1.7,26.25,3000,71,False,False,False,1000000000.0,7
172,10000000.0,4168693.834703355,-1.7,26.25,3000,72,False,False,False,1000000000.0,7
173,10000000.0,4168693.834703355,-1.7,26.25,3000,73,False,False,False,1000000000.0,7
174,10000000.0,4168693.834703355,-1.7,26.25,3000,74,False,False,False,1000000000.0,7
175,10000000.0,4168693.834703355,-1.7,26.25,3000,75,False,False,False,1000000000.0,7
176,10000000.0,4168693.834703355,-1.7,26.25,3000,76,False,False,False,1000000000.0,7
177,10000000.0,4168693.834703355,-1.7,26.25,3000,77,False,False,False,1000000000.0,7
178,10000000.0,4168693.834703355,-1.7,26.25,3000,78,False,False,False,1000000000.0,7
179,10000000.0,4168693.834703355,-1.7,26.25,3000,79,False,False,False,1000000000.0,7
180,10000000.0,4168693.834703355,-1.7,26.25,3000,80,False,False,False,1000000000.0,7
